@relation trebam

@attribute cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14}
@attribute entrada1 numeric
@attribute saida1 numeric
@attribute coberturaNos numeric
@attribute nroMutantesMortos numeric
@attribute Cccr numeric

@data
cluster13,86,9,37.209302,495,3.448276
cluster13,86,9,37.209302,495,3.448276
cluster9,90,2,27.906977,499,4.433498
cluster14,85,14,37.209302,495,3.448276
cluster0,99,3,6.976744,499,4.433498
cluster6,93,6,20.930233,499,4.433498
cluster13,86,9,37.209302,495,3.448276
cluster1,98,8,9.302326,499,4.433498
cluster4,95,0,16.27907,499,4.433498
cluster4,95,0,16.27907,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster6,93,6,20.930233,499,4.433498
cluster9,90,2,27.906977,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster9,90,2,27.906977,499,4.433498
cluster0,99,3,6.976744,499,4.433498
cluster7,92,10,23.255814,499,4.433498
cluster12,87,4,34.883721,495,3.448276
cluster8,91,12,25.581395,499,4.433498
cluster7,92,10,23.255814,499,4.433498
cluster5,94,11,18.604651,499,4.433498
cluster14,85,14,37.209302,495,3.448276
cluster7,92,10,23.255814,499,4.433498
cluster14,85,14,37.209302,495,3.448276
cluster4,95,0,16.27907,499,4.433498
cluster7,92,10,23.255814,499,4.433498
cluster13,86,9,37.209302,495,3.448276
cluster1,98,8,9.302326,499,4.433498
cluster1,98,8,9.302326,499,4.433498
cluster5,94,11,18.604651,499,4.433498
cluster11,88,5,32.55814,495,3.448276
cluster1,98,8,9.302326,499,4.433498
cluster0,99,3,6.976744,499,4.433498
cluster10,89,13,30.232558,495,3.448276
cluster6,93,6,20.930233,499,4.433498
cluster0,99,3,6.976744,499,4.433498
cluster0,99,3,6.976744,499,4.433498
cluster7,92,10,23.255814,499,4.433498
cluster14,85,14,37.209302,495,3.448276
cluster13,86,9,37.209302,495,3.448276
cluster12,87,4,34.883721,495,3.448276
cluster2,97,1,11.627907,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster11,88,5,32.55814,495,3.448276
cluster12,87,4,34.883721,495,3.448276
cluster12,87,4,34.883721,495,3.448276
cluster1,98,8,9.302326,499,4.433498
cluster5,94,11,18.604651,499,4.433498
cluster4,95,0,16.27907,499,4.433498
cluster10,89,13,30.232558,495,3.448276
cluster0,99,3,6.976744,499,4.433498
cluster9,90,2,27.906977,499,4.433498
cluster10,89,13,30.232558,495,3.448276
cluster14,85,14,37.209302,495,3.448276
cluster1,98,8,9.302326,499,4.433498
cluster2,97,1,11.627907,499,4.433498
cluster12,87,4,34.883721,495,3.448276
cluster4,95,0,16.27907,499,4.433498
cluster9,90,2,27.906977,499,4.433498
cluster11,88,5,32.55814,495,3.448276
cluster10,89,13,30.232558,495,3.448276
cluster12,87,4,34.883721,495,3.448276
cluster11,88,5,32.55814,495,3.448276
cluster8,91,12,25.581395,499,4.433498
cluster9,90,2,27.906977,499,4.433498
cluster4,95,0,16.27907,499,4.433498
cluster2,97,1,11.627907,499,4.433498
cluster1,98,8,9.302326,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster13,86,9,37.209302,495,3.448276
cluster9,90,2,27.906977,499,4.433498
cluster7,92,10,23.255814,499,4.433498
cluster2,97,1,11.627907,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster13,86,9,37.209302,495,3.448276
cluster4,95,0,16.27907,499,4.433498
cluster14,85,14,37.209302,495,3.448276
cluster10,89,13,30.232558,495,3.448276
cluster9,90,2,27.906977,499,4.433498
cluster2,97,1,11.627907,499,4.433498
cluster2,97,1,11.627907,499,4.433498
cluster9,90,2,27.906977,499,4.433498
cluster1,98,8,9.302326,499,4.433498
cluster11,88,5,32.55814,495,3.448276
cluster8,91,12,25.581395,499,4.433498
cluster6,93,6,20.930233,499,4.433498
cluster11,88,5,32.55814,495,3.448276
cluster1,98,8,9.302326,499,4.433498
cluster7,92,10,23.255814,499,4.433498
cluster0,99,3,6.976744,499,4.433498
cluster3,96,7,13.953488,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster3,96,7,13.953488,499,4.433498
cluster9,90,2,27.906977,499,4.433498
cluster5,94,11,18.604651,499,4.433498
cluster7,92,10,23.255814,499,4.433498
cluster13,86,9,37.209302,495,3.448276
cluster7,92,10,23.255814,499,4.433498
cluster14,85,14,37.209302,495,3.448276
cluster7,92,10,23.255814,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster8,91,12,25.581395,499,4.433498
cluster13,86,9,37.209302,495,3.448276
cluster4,95,0,16.27907,499,4.433498
cluster5,94,11,18.604651,499,4.433498
cluster1,98,8,9.302326,499,4.433498
cluster11,88,5,32.55814,495,3.448276
cluster5,94,11,18.604651,499,4.433498
cluster13,86,9,37.209302,495,3.448276
cluster8,91,12,25.581395,499,4.433498
cluster3,96,7,13.953488,499,4.433498
